id,fold,onborder
20190822142017_20190822142316_tile_9285,1,False
20190804130422_20190804130643_tile_3183,1,False
20190822152355_20190822152652_tile_3986,1,False
20190823130239_20190823130540_tile_3616,1,False
20190823145306_20190823145612_tile_7218,1,False
20190804130928_20190804131204_tile_5135,1,False
20190823071743_20190823072036_tile_2636,1,False
20190822142017_20190822142316_tile_9272,1,False
20190823144002_20190823144238_tile_10088,1,False
20190823083119_20190823083425_tile_2087,1,False
20190823142603_20190823142913_tile_3572,1,False
20190822071501_20190822071737_tile_6718,1,False
20190823094552_20190823094850_tile_10598,1,False
20190822075657_20190822080002_tile_10703,1,False
20190822151944_20190822152215_tile_7007,1,False
20190823073047_20190823073350_tile_7990,1,False
20190823065938_20190823070236_tile_2151,1,False
20190822144046_20190822144338_tile_1484,1,False
20190823083119_20190823083425_tile_2089,1,False
20190822100953_20190822101249_tile_8854,1,False
20190823160819_20190823161113_tile_11038,1,False
20190804115211_20190804115445_tile_8027,1,False
20190804125251_20190804125541_tile_6895,1,False
20190804114132_20190804114404_tile_10811,1,False
20190823075318_20190823075613_tile_5273,1,False
20190804135937_20190804140208_tile_6563,1,False
20190822144546_20190822144829_tile_7589,1,False
20190823072207_20190823072458_tile_5767,1,False
20190823083119_20190823083425_tile_2083,1,False
20190823124735_20190823125042_tile_2254,1,False
20190823133754_20190823134101_tile_283,1,False
20190823085011_20190823085317_tile_6948,1,False
20190822150221_20190822150509_tile_8512,1,False
20190804145216_20190804145445_tile_6519,1,False
20190823130239_20190823130540_tile_3614,1,False
20190822160239_20190822160529_tile_3895,1,False
20190823135139_20190823135448_tile_1423,1,False
20190823154802_20190823155103_tile_9764,1,False
20190822143107_20190822143418_tile_1547,1,False
20190822093552_20190822093843_tile_9663,1,False
20190822084226_20190822084526_tile_3232,1,False
20190804133705_20190804133940_tile_5545,1,False
20190823130736_20190823131054_tile_4273,1,False
20190823095600_20190823095931_tile_10985,1,False
20190822145028_20190822145325_tile_9231,1,False
20190804124749_20190804125033_tile_3677,1,False
20190822071025_20190822071321_tile_734,1,False
20190822161045_20190822161339_tile_2475,1,False
20190804123547_20190804123823_tile_6163,1,False
20190823150417_20190823150712_tile_10317,1,False
20190823125228_20190823125530_tile_8577,1,False
20190822141600_20190822141831_tile_8903,1,False
20190823131240_20190823131533_tile_7541,1,False
20190823100116_20190823100432_tile_2364,1,False
20190804140510_20190804140727_tile_4695,1,False
20190823143529_20190823143813_tile_4427,1,False
20190823065505_20190823065800_tile_384,1,False
20190822145028_20190822145325_tile_9222,1,False
20190804145216_20190804145445_tile_6516,1,False
20190823074026_20190823074323_tile_2208,1,False
20190823101748_20190823102106_tile_9440,1,False
20190804142149_20190804142420_tile_9113,1,False
20190822142505_20190822142747_tile_6825,1,False
20190822082047_20190822082347_tile_4329,1,False
20190822155502_20190822155747_tile_4655,1,False
20190804142149_20190804142420_tile_9114,1,False
20190822161458_20190822161736_tile_8418,1,False
20190823132244_20190823132535_tile_2790,1,False
20190823144002_20190823144238_tile_10079,1,False
20190822100953_20190822101249_tile_8839,1,False
20190823154802_20190823155103_tile_9773,1,False
20190822161837_20190822162134_tile_1594,1,False
20190822142017_20190822142316_tile_9283,1,False
20190823153931_20190823154211_tile_6411,1,False
20190822083256_20190822083600_tile_10931,1,False
20190822102427_20190822102736_tile_6096,1,False
20190822080151_20190822080440_tile_616,1,False
20190823093023_20190823093332_tile_8951,1,False
20190823152527_20190823152847_tile_5823,1,False
20190823095034_20190823095347_tile_1816,1,False
20190823152527_20190823152847_tile_5806,1,False
20190822155902_20190822160145_tile_877,1,False
20190822065725_20190822065959_tile_7265,1,False
20190823094552_20190823094850_tile_10599,1,False
20190822152811_20190822153054_tile_4,1,False
20190823080230_20190823080526_tile_1974,1,False
20190822082538_20190822082826_tile_4166,1,False
20190822080619_20190822080931_tile_217,1,False
20190822084226_20190822084526_tile_3227,1,False
20190822100114_20190822100413_tile_667,1,False
20190823135139_20190823135448_tile_1428,1,False
20190823075755_20190823080053_tile_10758,1,False
20190823131240_20190823131533_tile_7552,1,False
20190823151153_20190823151440_tile_6046,1,False
20190822094509_20190822094813_tile_163,1,False
20190822152355_20190822152652_tile_3995,1,False
20190822162621_20190822162906_tile_5663,1,False
20190822101929_20190822102224_tile_10363,1,False
20190823071743_20190823072036_tile_2623,1,False
20190822163834_20190822164115_tile_7709,1,False
20190822155902_20190822160145_tile_883,1,False
20190822101452_20190822101748_tile_4379,1,False
20190822102956_20190822103254_tile_4108,1,False
20190823070415_20190823070716_tile_6351,1,False
20190822151523_20190822151826_tile_2898,1,False
20190804132031_20190804132301_tile_9498,1,False
20190822160239_20190822160529_tile_3891,1,False
20190804133131_20190804133356_tile_773,1,False
20190804125251_20190804125541_tile_6899,1,False
20190822151523_20190822151826_tile_2902,1,False
20190822090458_20190822090745_tile_6612,1,False
20190822153149_20190822153444_tile_1061,1,False
20190822154325_20190822154559_tile_9324,1,False
20190822152355_20190822152652_tile_3985,1,False
20190823101748_20190823102106_tile_9446,1,False
20190822073257_20190822073557_tile_2421,1,False
20190823155824_20190823160121_tile_4542,1,False
20190822094951_20190822095250_tile_2961,1,False
20190822074237_20190822074521_tile_4755,1,False
20190822071924_20190822072224_tile_8643,1,False
20190822163834_20190822164115_tile_7707,1,False
20190804121908_20190804122131_tile_6665,1,False
20190823125732_20190823130048_tile_1931,1,False
20190822074720_20190822075013_tile_10031,1,False
20190823100116_20190823100432_tile_2361,1,False
20190823084527_20190823084841_tile_10539,1,False
20190823141628_20190823141922_tile_8739,1,False
20190822144546_20190822144829_tile_7597,1,False
20190822144546_20190822144829_tile_7600,1,False
20190823085011_20190823085317_tile_6955,1,False
20190823082625_20190823082938_tile_453,1,False
20190823152057_20190823152354_tile_1275,1,False
